transition_label,transition_name,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,base_score,final_score,gain,interest_matching_base,interest_matching_final,interest_matching_gain,tu_utilization_base,tu_utilization_final,tu_utilization_gain,city_visit_efficiency_base,city_visit_efficiency_final,city_visit_efficiency_gain,geographic_coverage_base,geographic_coverage_final,geographic_coverage_gain,long_travel_penalty_base,long_travel_penalty_final,long_travel_penalty_gain,travel_streak_smoothness_base,travel_streak_smoothness_final,travel_streak_smoothness_gain,stay_streak_smoothness_base,stay_streak_smoothness_final,stay_streak_smoothness_gain,runtime_seconds,violations
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",4,winter,6,culture_food,0.1,0.4,0.3,0.2,68.9036362,68.9036362,0.0,0.5416667,0.5416667,0.0,1.0,1.0,0.0,0.3333333,0.3333333,0.0,0.6630202,0.6630202,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.010588,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",4,winter,10,balanced,0.25,0.25,0.25,0.25,77.3310389,77.3310389,0.0,0.7647059,0.7647059,0.0,0.975,0.975,0.0,0.6666667,0.6666667,0.0,0.4919217,0.4919217,0.0,1.0,1.0,0.0,0.7125015,0.7125015,0.0,1.0,1.0,0.0,0.040047,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",4,winter,10,nature_food,0.4,0.2,0.3,0.3,68.8980495,68.8980495,0.0,0.5833333,0.5833333,0.0,1.0,1.0,0.0,0.3333333,0.3333333,0.0,0.5654255,0.5654255,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.026571,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",4,winter,10,culture_food,0.1,0.4,0.3,0.2,57.2590284,57.2590284,0.0,0.2303922,0.2303922,0.0,0.95,0.95,0.0,0.3333333,0.3333333,0.0,0.6630202,0.6630202,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.028048,-
1,substitute_pois,"Geneva, Switzerland","Lucerne, Switzerland",4,winter,6,balanced,0.25,0.25,0.25,0.25,61.0551671,61.0551671,0.0,0.2631579,0.2631579,0.0,1.0,1.0,0.0,0.6666667,0.6666667,0.0,0.6030026,0.6030026,0.0,0.7799601,0.7799601,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.018556,-
1,substitute_pois,"Geneva, Switzerland","Lucerne, Switzerland",4,winter,6,nature_food,0.4,0.2,0.3,0.3,60.5946408,61.1961829,0.6015421,0.25,0.390625,0.140625,1.0,0.875,-0.125,0.6666667,0.6666667,0.0,0.6030026,0.6980339,0.0950313,0.7799601,0.4492784,-0.3306817,1.0,0.8872029,-0.1127971,1.0,1.0,0.0,0.014152,-
1,substitute_pois,"Geneva, Switzerland","Lucerne, Switzerland",4,winter,6,culture_food,0.1,0.4,0.3,0.2,65.5069215,65.5069215,0.0,0.3903509,0.3903509,0.0,1.0,1.0,0.0,0.6666667,0.6666667,0.0,0.6030026,0.6030026,0.0,0.7799601,0.7799601,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.012505,-
1,substitute_pois,"Geneva, Switzerland","Lucerne, Switzerland",4,winter,10,balanced,0.25,0.25,0.25,0.25,63.4652729,65.5347174,2.0694444,0.2571429,0.3055556,0.0484127,0.975,1.0,0.025,0.6666667,0.6666667,0.0,0.6560182,0.6560182,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.046325,-
1,substitute_pois,"Geneva, Switzerland","Lucerne, Switzerland",4,winter,10,nature_food,0.4,0.2,0.3,0.3,66.2152729,66.2638841,0.0486111,0.3357143,0.3263889,-0.0093254,0.975,1.0,0.025,0.6666667,0.6666667,0.0,0.6560182,0.6560182,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.039538,-
1,substitute_pois,"Geneva, Switzerland","Lucerne, Switzerland",4,winter,10,culture_food,0.1,0.4,0.3,0.2,58.3323859,69.3446408,11.0122549,0.1960784,0.5,0.3039216,0.975,1.0,0.025,0.6666667,0.6666667,0.0,0.6030026,0.6030026,0.0,0.7799601,0.7799601,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.048552,-
