removed_label,removed_name,kept_labels,kept_names,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,base_score,final_score,gain,runtime_seconds,violations
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,70.4745503,77.1785373,6.703987,0.15713,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,64.9453029,64.9453029,0.0,0.113394,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,68.6964926,80.3631593,11.6666667,0.093023,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,67.3773871,67.3773871,0.0,0.024554,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,60.4950714,60.4950714,0.0,0.019304,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,58.3261223,62.8631593,4.537037,0.030029,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,76.4570073,77.34468,0.8876727,0.316528,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,65.4164146,65.4164146,0.0,0.115442,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,75.738496,85.4770807,9.7385847,0.394337,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,71.0318192,71.0318192,0.0,0.044784,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,63.1425075,63.1425075,0.0,0.045594,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,79.7934715,88.2612135,8.4677419,0.273095,-
3,insert_new_city,1|2|4,"swap_city_blocks,substitute_pois,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,79.4453673,88.400501,8.9551336,1.268578,-
