algorithm_id,algorithm,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,total_score,interest_matching,tu_utilization,city_visit_efficiency,geographic_coverage,long_travel_penalty,travel_streak_smoothness,stay_streak_smoothness,runtime_seconds,violations
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,10,sport_culture,0.2,0.3,0.1,0.4,61.1685924,0.280303,0.9666667,1.0,0.8406638,1e-06,0.8496039,1.0,0.001471,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,10,sport_culture,0.2,0.3,0.1,0.4,82.2820537,0.8787879,0.9666667,1.0,0.8517632,1e-06,0.8496039,1.0,0.119323,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,10,sport_culture,0.2,0.3,0.1,0.4,82.2820537,0.8787879,0.9666667,1.0,0.8517632,1e-06,0.8496039,1.0,0.129421,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,6,balanced,0.25,0.25,0.25,0.25,70.8210227,0.6538462,0.8888889,0.5,0.5236703,1.0,0.8496039,1.0,0.001041,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,6,balanced,0.25,0.25,0.25,0.25,70.8210227,0.6538462,0.8888889,0.5,0.5236703,1.0,0.8496039,1.0,0.007789,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,6,balanced,0.25,0.25,0.25,0.25,70.8210227,0.6538462,0.8888889,0.5,0.5236703,1.0,0.8496039,1.0,0.009997,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,6,nature_sport,0.4,0.1,0.2,0.3,68.0127667,0.5138889,0.8888889,0.5,0.6630202,1.0,0.8496039,1.0,0.001046,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,6,nature_sport,0.4,0.1,0.2,0.3,68.0127667,0.5138889,0.8888889,0.5,0.6630202,1.0,0.8496039,1.0,0.016214,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,6,nature_sport,0.4,0.1,0.2,0.3,68.0127667,0.5138889,0.8888889,0.5,0.6630202,1.0,0.8496039,1.0,0.018067,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,6,culture_food,0.1,0.4,0.3,0.2,67.8661963,0.5138889,0.8888889,0.5,0.6532488,1.0,0.8496039,1.0,0.000996,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,6,culture_food,0.1,0.4,0.3,0.2,67.8661963,0.5138889,0.8888889,0.5,0.6532488,1.0,0.8496039,1.0,0.017492,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,6,culture_food,0.1,0.4,0.3,0.2,67.8661963,0.5138889,0.8888889,0.5,0.6532488,1.0,0.8496039,1.0,0.021953,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,6,sport_culture,0.2,0.3,0.1,0.4,67.1099889,0.4404762,1.0,0.5,0.6630202,1.0,0.8496039,1.0,0.001041,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,6,sport_culture,0.2,0.3,0.1,0.4,67.1099889,0.4404762,1.0,0.5,0.6630202,1.0,0.8496039,1.0,0.016013,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,6,sport_culture,0.2,0.3,0.1,0.4,67.1099889,0.4404762,1.0,0.5,0.6630202,1.0,0.8496039,1.0,0.018056,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,8,balanced,0.25,0.25,0.25,0.25,75.4433223,0.7857143,0.75,0.5,0.6630202,1.0,0.8496039,1.0,0.001338,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,8,balanced,0.25,0.25,0.25,0.25,75.4433223,0.7857143,0.75,0.5,0.6630202,1.0,0.8496039,1.0,0.018166,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,8,balanced,0.25,0.25,0.25,0.25,75.4433223,0.7857143,0.75,0.5,0.6630202,1.0,0.8496039,1.0,0.018255,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,8,nature_sport,0.4,0.1,0.2,0.3,69.5636926,0.5462963,0.9166667,0.5,0.6630202,1.0,0.8496039,1.0,0.001426,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,8,nature_sport,0.4,0.1,0.2,0.3,69.5636926,0.5462963,0.9166667,0.5,0.6630202,1.0,0.8496039,1.0,0.017562,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,8,nature_sport,0.4,0.1,0.2,0.3,69.5636926,0.5462963,0.9166667,0.5,0.6630202,1.0,0.8496039,1.0,0.027586,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,8,culture_food,0.1,0.4,0.3,0.2,75.0266556,0.6666667,1.0,0.5,0.6630202,1.0,0.8496039,1.0,0.00145,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,8,culture_food,0.1,0.4,0.3,0.2,75.0266556,0.6666667,1.0,0.5,0.6630202,1.0,0.8496039,1.0,0.020146,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,8,culture_food,0.1,0.4,0.3,0.2,75.0266556,0.6666667,1.0,0.5,0.6630202,1.0,0.8496039,1.0,0.023757,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,8,sport_culture,0.2,0.3,0.1,0.4,71.9839495,0.6666667,1.0,0.5,0.4601731,1.0,0.8496039,1.0,0.001366,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,8,sport_culture,0.2,0.3,0.1,0.4,71.9839495,0.6666667,1.0,0.5,0.4601731,1.0,0.8496039,1.0,0.028886,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,8,sport_culture,0.2,0.3,0.1,0.4,71.9839495,0.6666667,1.0,0.5,0.4601731,1.0,0.8496039,1.0,0.021344,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,10,balanced,0.25,0.25,0.25,0.25,67.8127552,0.7857143,0.6666667,0.5,0.8222894,0.1230395,0.8496039,1.0,0.001437,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,10,balanced,0.25,0.25,0.25,0.25,73.1933223,0.7,0.8,0.5,0.6630202,1.0,0.8496039,1.0,0.029408,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,10,balanced,0.25,0.25,0.25,0.25,73.1933223,0.7,0.8,0.5,0.6630202,1.0,0.8496039,1.0,0.038597,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,10,nature_sport,0.4,0.1,0.2,0.3,73.5703026,0.6721014,0.9,0.5,0.6532488,1.0,0.8496039,1.0,0.001727,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,10,nature_sport,0.4,0.1,0.2,0.3,73.5703026,0.6721014,0.9,0.5,0.6532488,1.0,0.8496039,1.0,0.039659,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,10,nature_sport,0.4,0.1,0.2,0.3,73.5703026,0.6721014,0.9,0.5,0.6532488,1.0,0.8496039,1.0,0.063362,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,10,culture_food,0.1,0.4,0.3,0.2,68.6794334,0.5138889,0.9333333,0.5,0.6630202,1.0,0.8496039,1.0,0.001825,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,10,culture_food,0.1,0.4,0.3,0.2,68.6794334,0.5138889,0.9333333,0.5,0.6630202,1.0,0.8496039,1.0,0.051756,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,10,culture_food,0.1,0.4,0.3,0.2,68.6794334,0.5138889,0.9333333,0.5,0.6630202,1.0,0.8496039,1.0,0.082829,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,10,sport_culture,0.2,0.3,0.1,0.4,71.6099889,0.5833333,0.9666667,0.5,0.6630202,1.0,0.8496039,1.0,0.00176,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,10,sport_culture,0.2,0.3,0.1,0.4,71.6099889,0.5833333,0.9666667,0.5,0.6630202,1.0,0.8496039,1.0,0.164565,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",3,summer,10,sport_culture,0.2,0.3,0.1,0.4,71.6099889,0.5833333,0.9666667,0.5,0.6630202,1.0,0.8496039,1.0,0.089433,-
1,route_planner_greedy:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,6,balanced,0.25,0.25,0.25,0.25,86.0599526,0.7857143,0.9444444,1.0,0.6763511,1.0,0.8496039,1.0,0.00097,-
2,route_planner_greedy_local:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,6,balanced,0.25,0.25,0.25,0.25,86.0599526,0.7857143,0.9444444,1.0,0.6763511,1.0,0.8496039,1.0,0.022634,-
3,route_planner:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,6,balanced,0.25,0.25,0.25,0.25,86.0599526,0.7857143,0.9444444,1.0,0.6763511,1.0,0.8496039,1.0,0.047781,-
1,route_planner_greedy:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,6,nature_sport,0.4,0.1,0.2,0.3,78.7041833,0.599359,0.8888889,1.0,0.6763511,1.0,0.8496039,1.0,0.000933,-
2,route_planner_greedy_local:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,6,nature_sport,0.4,0.1,0.2,0.3,78.7041833,0.599359,0.8888889,1.0,0.6763511,1.0,0.8496039,1.0,0.015907,-
3,route_planner:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,6,nature_sport,0.4,0.1,0.2,0.3,78.7041833,0.599359,0.8888889,1.0,0.6763511,1.0,0.8496039,1.0,0.024938,-
1,route_planner_greedy:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,6,culture_food,0.1,0.4,0.3,0.2,83.7522603,0.7435897,0.8888889,1.0,0.6763511,1.0,0.8496039,1.0,0.00089,-
2,route_planner_greedy_local:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,6,culture_food,0.1,0.4,0.3,0.2,83.7522603,0.7435897,0.8888889,1.0,0.6763511,1.0,0.8496039,1.0,0.011149,-
3,route_planner:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,6,culture_food,0.1,0.4,0.3,0.2,83.7522603,0.7435897,0.8888889,1.0,0.6763511,1.0,0.8496039,1.0,0.020138,-
1,route_planner_greedy:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,6,sport_culture,0.2,0.3,0.1,0.4,72.7266192,0.4047619,0.9444444,1.0,0.6763511,1.0,0.8496039,1.0,0.000875,-
2,route_planner_greedy_local:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,6,sport_culture,0.2,0.3,0.1,0.4,74.8099526,0.4642857,0.9444444,1.0,0.6763511,1.0,0.8496039,1.0,0.02161,-
3,route_planner:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,6,sport_culture,0.2,0.3,0.1,0.4,74.8099526,0.4642857,0.9444444,1.0,0.6763511,1.0,0.8496039,1.0,0.029943,-
1,route_planner_greedy:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,8,balanced,0.25,0.25,0.25,0.25,77.1618971,0.5588235,0.875,1.0,0.688051,0.9909289,0.8496039,1.0,0.001193,-
2,route_planner_greedy_local:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,8,balanced,0.25,0.25,0.25,0.25,77.1618971,0.5588235,0.875,1.0,0.688051,0.9909289,0.8496039,1.0,0.019342,-
3,route_planner:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,8,balanced,0.25,0.25,0.25,0.25,77.1618971,0.5588235,0.875,1.0,0.688051,0.9909289,0.8496039,1.0,0.040901,-
1,route_planner_greedy:RoutePlanner,"Lugano, Switzerland","Zurich, Switzerland",3,summer,8,nature_sport,0.4,0.1,0.2,0.3,88.7105297,0.8530702,0.9583333,1.0,0.688051,0.9909289,0.8496039,1.0,0.002384,-
