algorithm_id,algorithm,field,value,n,total_score_mean,interest_matching_mean,tu_utilization_mean,city_visit_efficiency_mean,geographic_coverage_mean,long_travel_penalty_mean,travel_streak_smoothness_mean,stay_streak_smoothness_mean,total_score_median,interest_matching_median,tu_utilization_median,city_visit_efficiency_median,geographic_coverage_median,long_travel_penalty_median,travel_streak_smoothness_median,stay_streak_smoothness_median
3,route_planner:RoutePlanner,days,4,48,70.61213785,0.61241115,0.9465277729166667,0.6249999895833334,0.70513251875,0.5690848458333334,0.8673989937500001,1.0,71.54323195,0.5724206000000001,0.9583333,0.6666667,0.6630202,0.7564832,0.8872029,1.0
3,route_planner:RoutePlanner,days,9,48,77.30725198124999,0.74327421875,0.9594135812500001,0.7743055624999999,0.7259426041666667,0.49874260833333334,0.8849539395833333,0.9971064791666667,78.74053015000001,0.7310435500000001,0.962963,0.6666667,0.72178275,0.48431484999999996,0.949868,1.0
1,route_planner_greedy:RoutePlanner,season,summer,96,69.71492405625,0.5723562447916667,0.959572871875,0.6710737260416666,0.7290658250000001,0.445428125,0.9776914322916667,0.9888062104166666,70.1816823,0.5944537,0.962963,0.6666667,0.72576015,0.34062385,1.0,1.0
1,route_planner_greedy:RoutePlanner,season,winter,96,69.30164007916666,0.534690934375,0.9604775708333334,0.693687684375,0.7463983145833333,0.475532965625,0.9698853395833335,0.9948495333333334,69.47954805,0.54674475,0.9666667,0.6923077,0.7321162,0.5006421,1.0,1.0
2,route_planner_greedy_local:RoutePlanner,season,summer,96,75.28793317499999,0.7197032458333333,0.957274590625,0.7023237229166667,0.72690841875,0.46029955729166666,0.9507384479166667,0.9888062104166666,75.64027345,0.71123665,0.962963,0.6923077,0.72576015,0.36721705,0.9892574000000001,1.0
2,route_planner_greedy_local:RoutePlanner,season,winter,96,73.65211767083333,0.64780569375,0.9504555239583333,0.7284099031250001,0.7471362427083333,0.49149580520833336,0.9399375791666666,0.9948495333333334,73.26778295,0.61569805,0.9539683,0.7692308,0.7321162,0.5006421,0.9742178,1.0
3,route_planner:RoutePlanner,season,summer,96,77.65387686770833,0.7451004791666667,0.9579596604166666,0.7349537062499999,0.7248387093750001,0.5791211510416666,0.9150566677083334,0.9885168583333334,77.5095371,0.7501408,0.9603175,0.6923077,0.70775875,0.7342995,0.949868,1.0
3,route_planner:RoutePlanner,season,winter,96,75.93301351145833,0.68574435625,0.950159834375,0.7614405291666667,0.7440383458333333,0.5621719208333333,0.8997040354166667,0.9954282354166667,76.0761627,0.63051995,0.9583333,0.7777778,0.72184235,0.71641275,0.949868,1.0
1,route_planner_greedy:RoutePlanner,mtu,10,96,70.43317846145833,0.57934616875,0.9569427916666666,0.6833155364583333,0.7492366520833333,0.44959993333333337,0.972059503125,0.99146825,70.23308685,0.59842195,0.96,0.6794872,0.7321162,0.3796033,1.0,1.0
1,route_planner_greedy:RoutePlanner,mtu,6,96,68.58338567395833,0.5277010104166667,0.9631076510416666,0.6814458739583333,0.7262274875,0.47136115729166667,0.97551726875,0.9921874937499999,69.18560925,0.5368072500000001,0.9666667,0.6794872,0.7272366,0.4305889,1.0,1.0
2,route_planner_greedy_local:RoutePlanner,mtu,10,96,75.90690796770834,0.7229973375,0.9481043333333333,0.7180377552083334,0.74891114375,0.4708302927083334,0.9421117427083333,0.99146825,76.88649665,0.6784972,0.95285715,0.73076925,0.7321162,0.4217238,0.9699208,1.0
2,route_planner_greedy_local:RoutePlanner,mtu,6,96,73.03314287812499,0.6445116020833334,0.9596257812500001,0.7126958708333334,0.7251335177083332,0.4809650697916667,0.9485642843750001,0.9921874937499999,72.53787685,0.6327640000000001,0.962963,0.7692308,0.7272366,0.4305889,0.9892574000000001,1.0
3,route_planner:RoutePlanner,mtu,10,96,77.44488851041667,0.7335745687499999,0.9511598874999999,0.7645121125,0.7427654135416667,0.5416411354166667,0.9030166802083334,0.9923445729166667,77.3205882,0.68492165,0.95285715,0.7735042999999999,0.71210325,0.64792245,0.949868,1.0
3,route_planner:RoutePlanner,mtu,6,96,76.14200186875,0.6972702666666667,0.9569596072916666,0.7318821229166667,0.7261116416666668,0.5996519364583334,0.9117440229166668,0.9916005208333334,75.42821395,0.6994675,0.962963,0.6923077,0.71482975,0.75139725,0.949868,1.0
