algorithm_id,algorithm,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,total_score,interest_matching,tu_utilization,city_visit_efficiency,geographic_coverage,long_travel_penalty,travel_streak_smoothness,stay_streak_smoothness,runtime_seconds,violations
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,summer,10,culture_food,0.1,0.4,0.3,0.2,64.6906732,0.4212963,1.0,0.3333333,0.6630202,1.0,1.0,1.0,0.184087,-
1,route_planner_greedy:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,6,balanced,0.25,0.25,0.25,0.25,60.8887584,0.2941176,0.9166667,0.6666667,0.6030026,0.7799601,1.0,1.0,0.00516,-
2,route_planner_greedy_local:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,6,balanced,0.25,0.25,0.25,0.25,82.0089182,0.7058824,0.9583333,1.0,0.6243686,1.0,0.7125015,1.0,0.172978,-
3,route_planner:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,6,balanced,0.25,0.25,0.25,0.25,80.7543395,0.8421053,1.0,0.6666667,0.6030026,0.7799601,0.8872029,1.0,0.115149,-
1,route_planner_greedy:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,6,nature_sport,0.4,0.1,0.2,0.3,71.0970918,0.5857843,0.9166667,0.6666667,0.6030026,0.7799601,1.0,1.0,0.005564,-
2,route_planner_greedy_local:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,6,nature_sport,0.4,0.1,0.2,0.3,80.4605359,0.7181373,0.9583333,1.0,0.5943339,0.8473216,0.7125015,1.0,0.034879,-
3,route_planner:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,6,nature_sport,0.4,0.1,0.2,0.3,80.4605359,0.7181373,0.9583333,1.0,0.5943339,0.8473216,0.7125015,1.0,0.115847,-
1,route_planner_greedy:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,6,culture_food,0.1,0.4,0.3,0.2,69.3086832,0.5963542,1.0,1.0,0.6444301,0.0207329,0.7125015,1.0,0.004062,-
2,route_planner_greedy_local:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,6,culture_food,0.1,0.4,0.3,0.2,75.6888915,0.7786458,1.0,1.0,0.6444301,0.0207329,0.7125015,1.0,0.037766,-
3,route_planner:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,6,culture_food,0.1,0.4,0.3,0.2,75.6888915,0.7786458,1.0,1.0,0.6444301,0.0207329,0.7125015,1.0,0.113259,-
1,route_planner_greedy:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,10,balanced,0.25,0.25,0.25,0.25,64.8825196,0.3939394,0.95,0.6666667,0.6030026,0.7799601,1.0,1.0,0.030348,-
2,route_planner_greedy_local:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,10,balanced,0.25,0.25,0.25,0.25,79.4300434,0.7058824,0.975,1.0,0.5375625,0.8473216,0.7125015,1.0,0.194909,-
3,route_planner:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,10,balanced,0.25,0.25,0.25,0.25,87.3472973,0.8484848,0.975,1.0,0.6308547,1.0,0.7125015,1.0,0.448592,-
1,route_planner_greedy:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,10,nature_sport,0.4,0.1,0.2,0.3,77.7423681,0.7613636,0.95,0.6666667,0.6030026,0.7799601,1.0,1.0,0.027253,-
2,route_planner_greedy_local:RoutePlanner,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,10,nature_sport,0.4,0.1,0.2,0.3,86.6088885,0.8421717,0.975,1.0,0.5963581,1.0,0.7125015,1.0,0.122047,-
