removed_label,removed_name,kept_labels,kept_names,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,base_score,final_score,gain,baseline_final_score,delta_vs_baseline,runtime_seconds,violations
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,71.0318192,71.0318192,0.0,71.0318192,0.0,0.052765,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,63.1425075,63.1425075,0.0,63.1425075,0.0,0.054395,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,79.7934715,88.2612135,8.4677419,88.4496759,-0.1884624,0.21754,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,79.4453673,89.5898214,10.144454,89.5898214,0.0,1.897061,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,69.6254289,69.6254289,0.0,69.6254289,0.0,0.263612,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,84.619931,89.5969952,4.9770642,89.5969952,0.0,1.294685,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,81.63297,82.5438751,0.9109051,84.5053318,-1.9614568,0.345265,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,77.9700568,77.9700568,0.0,77.9700568,0.0,0.150159,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,78.3742269,83.5594121,5.1851852,83.5594121,0.0,0.425441,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,83.3706149,90.9647268,7.594112,90.9647268,0.0,3.654389,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,77.2747106,77.2747106,0.0,77.2747106,0.0,0.506055,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,78.4184858,89.0130357,10.5945499,89.0130357,0.0,3.530931,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,78.9588538,84.8860621,5.9272083,84.8860621,0.0,1.155071,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,76.1814,76.1814,0.0,76.1814,0.0,0.172841,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,71.8721883,81.4354123,9.5632239,83.6234404,-2.1880281,1.052858,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,70.4745503,77.1785373,6.703987,77.1785373,0.0,0.13635,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,64.9453029,64.9453029,0.0,64.9453029,0.0,0.071632,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,68.6964926,80.681982,11.9854893,80.681982,0.0,0.206187,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,67.3773871,75.9707403,8.5933533,75.9707403,0.0,0.093553,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,60.4950714,60.4950714,0.0,60.4950714,0.0,0.034505,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,58.3261223,67.7071408,9.3810185,67.7071408,0.0,0.082167,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,76.4570073,84.0086909,7.5516836,85.6618988,-1.6532079,1.107102,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,65.4164146,65.4164146,0.0,65.4164146,0.0,0.251717,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,75.738496,87.810414,12.071918,87.810414,0.0,0.807059,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,71.0318192,71.0318192,0.0,71.0318192,0.0,0.060465,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,63.1425075,63.1425075,0.0,63.1425075,0.0,0.127965,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,79.7934715,88.2612135,8.4677419,88.4496759,-0.1884624,0.256542,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,79.4453673,89.5898214,10.144454,89.5898214,0.0,2.09758,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,69.6254289,69.6254289,0.0,69.6254289,0.0,0.523604,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,84.619931,89.5969952,4.9770642,89.5969952,0.0,1.479821,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,81.63297,82.2354328,0.6024629,84.5053318,-2.269899,0.357701,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,77.9700568,77.9700568,0.0,77.9700568,0.0,0.27539,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,78.3742269,83.5594121,5.1851852,83.5594121,0.0,0.483721,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,83.3706149,90.9647268,7.594112,90.9647268,0.0,3.787732,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,77.2747106,77.2747106,0.0,77.2747106,0.0,0.779627,-
3,convert_travel_day_to_stay,1|2|4,"substitute_pois,insert_new_city,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,78.4184858,87.9119499,9.4934641,89.0130357,-1.1010858,3.703273,-
